training_id,change_id,role,plant_id,product_id,completion_status,due_date,is_overdue,release_impact
TRN-50271,CHG-40017,QA Specialist,PLT-005,PRD-117,Incomplete,2026-06-15,False,Release Hold
TRN-50272,CHG-40004,Manufacturing Lead,PLT-001,PRD-120,Overdue,2026-02-27,True,Release Blocked
TRN-50273,CHG-40011,QA Specialist,PLT-002,PRD-113,Pending,2026-01-04,True,Release Hold
TRN-50274,CHG-40002,Validation Engineer,PLT-003,PRD-104,Overdue,2026-02-24,True,Release Blocked
TRN-50275,CHG-40004,Operator,PLT-001,PRD-120,Pending,2026-02-04,True,Pending QA Review
TRN-50276,CHG-40020,Supervisor,PLT-002,PRD-104,Completed,2026-02-20,False,Release Hold
TRN-50277,CHG-40020,Supervisor,PLT-002,PRD-104,Completed,2026-03-01,False,Release Hold
TRN-50278,CHG-40004,Validation Engineer,PLT-001,PRD-120,Incomplete,2026-02-20,True,Release Blocked
TRN-50279,CHG-40003,QA Specialist,PLT-003,PRD-117,Completed,2026-02-05,False,Pending QA Review
TRN-50280,CHG-40003,Manufacturing Lead,PLT-003,PRD-117,Completed,2026-02-21,False,
TRN-50281,CHG-40012,Validation Engineer,PLT-002,PRD-119,Incomplete,2026-05-24,False,Release Hold
TRN-50282,CHG-40003,Validation Engineer,PLT-003,PRD-117,Pending,2026-02-05,True,Pending QA Review
TRN-50283,CHG-40010,Technician,PLT-002,PRD-121,Overdue,2026-02-15,True,Release Blocked
TRN-50284,CHG-40021,QA Specialist,PLT-002,PRD-107,Completed,2026-03-11,False,
TRN-50285,CHG-40015,QA Specialist,PLT-002,PRD-112,Completed,2026-05-19,False,Release Hold
TRN-50286,CHG-40012,Supervisor,PLT-002,PRD-119,Incomplete,2026-05-08,False,Release Hold
TRN-50287,CHG-40025,Supervisor,PLT-001,PRD-125,Completed,2026-02-14,False,Pending QA Review
TRN-50288,CHG-40002,Validation Engineer,PLT-003,PRD-104,Pending,2026-02-24,False,Pending QA Review
TRN-50289,CHG-40015,Supervisor,PLT-002,PRD-112,Overdue,2026-05-12,False,Release Hold
TRN-50290,CHG-40002,Manufacturing Lead,PLT-003,PRD-104,Incomplete,2026-02-17,False,Pending QA Review
TRN-50291,CHG-40012,QA Specialist,PLT-002,PRD-119,Incomplete,2026-05-31,False,
TRN-50292,CHG-40019,Technician,PLT-001,PRD-123,Incomplete,2026-02-05,True,Release Blocked
TRN-50293,CHG-40009,Operator,PLT-003,PRD-103,Completed,2026-01-22,False,Release Hold
TRN-50294,CHG-40001,Supervisor,PLT-003,PRD-102,Completed,2026-04-06,False,Release Hold
TRN-50295,CHG-40002,Validation Engineer,PLT-003,PRD-104,Completed,2026-02-01,False,Release Hold
TRN-50296,CHG-40008,Supervisor,PLT-005,PRD-114,Completed,2026-01-22,False,Pending QA Review
TRN-50297,CHG-40002,Validation Engineer,PLT-003,PRD-104,Completed,2026-02-24,False,
TRN-50298,CHG-40013,QA Specialist,PLT-005,PRD-118,Pending,2026-02-20,False,Release Hold
TRN-50299,CHG-40016,Validation Engineer,PLT-004,PRD-101,Incomplete,2026-03-23,False,Release Hold
TRN-50300,CHG-40015,Supervisor,PLT-002,PRD-112,Completed,2026-05-12,False,Release Hold
